NODE_ID,geometry,LON,LAT,geom
,POINT (-122.19666 37.4384),,,POINT (-122.19666 37.4384)
,POINT (-122.19624 37.43892),,,POINT (-122.19624 37.43892)
,POINT (-122.39358 37.7294),,,POINT (-122.39358 37.7294)
,POINT (-122.39447 37.72953),,,POINT (-122.39447 37.72953)
,POINT (-122.39489 37.7296),,,POINT (-122.39489 37.7296)
,POINT (-122.39539 37.72966),,,POINT (-122.39539 37.72966)
,POINT (-122.39726 37.72994),,,POINT (-122.39726 37.72994)
,POINT (-122.39807 37.73004),,,POINT (-122.39807 37.73004)
,POINT (-122.39898 37.73017),,,POINT (-122.39898 37.73017)
,POINT (-122.28851 37.52278),,,POINT (-122.28851 37.52278)
,POINT (-122.29011 37.5235),,,POINT (-122.29011 37.5235)
,POINT (-122.45619 37.64744),,,POINT (-122.45619 37.64744)
,POINT (-122.45493 37.64744),,,POINT (-122.45493 37.64744)
,POINT (-122.27725 37.50463),,,POINT (-122.27725 37.50463)
,POINT (-122.27822 37.50527),,,POINT (-122.27822 37.50527)
,POINT (-122.33394 37.57245),,,POINT (-122.33394 37.57245)
,POINT (-122.33332 37.57288),,,POINT (-122.33332 37.57288)
,POINT (-122.33364 37.57217),,,POINT (-122.33364 37.57217)
,POINT (-122.33421 37.57269),,,POINT (-122.33421 37.57269)
,POINT (-122.45234 37.71995),,,POINT (-122.45234 37.71995)
,POINT (-122.45161 37.72107),,,POINT (-122.45161 37.72107)
,POINT (-122.4686 37.70315),,,POINT (-122.4686 37.70315)
,POINT (-122.4686 37.70501),,,POINT (-122.4686 37.70500999999999)
,POINT (-122.46862 37.70187),,,POINT (-122.46862 37.70187)
,POINT (-122.46799 37.69946),,,POINT (-122.46799 37.69945999999999)
,POINT (-122.468 37.70088),,,POINT (-122.468 37.70088)
,POINT (-122.46796 37.69765),,,POINT (-122.46796 37.69765)
,POINT (-122.46787 37.69682),,,POINT (-122.46787 37.69682)
,POINT (-122.46788 37.69765),,,POINT (-122.46788 37.69765)
,POINT (-122.39098 37.59651),,,POINT (-122.39098 37.59650999999999)
,POINT (-122.3918 37.59741),,,POINT (-122.3918 37.59741)
,POINT (-122.39354 37.59931),,,POINT (-122.39354 37.59931)
,POINT (-122.43354 37.65988),,,POINT (-122.43354 37.65988)
,POINT (-122.43337 37.66032),,,POINT (-122.43337 37.66032)
,POINT (-122.43301 37.66131),,,POINT (-122.43301 37.66131)
,POINT (-122.43277 37.66199),,,POINT (-122.43277 37.66199)
,POINT (-122.43242 37.66432),,,POINT (-122.43242 37.66432)
,POINT (-122.43306 37.66471),,,POINT (-122.43306 37.66471)
,POINT (-122.43518 37.46649),,,POINT (-122.43518 37.46649)
,POINT (-122.43687 37.46667),,,POINT (-122.43687 37.46667)
,POINT (-122.4344 37.46643),,,POINT (-122.4344 37.46643)
,POINT (-122.35858 37.57931),,,POINT (-122.35858 37.57931)
,POINT (-122.35803 37.57961),,,POINT (-122.35803 37.57961)
,POINT (-122.35898 37.57914),,,POINT (-122.35898 37.57914)
,POINT (-122.35924 37.579),,,POINT (-122.35924 37.579)
,POINT (-122.36025 37.5785),,,POINT (-122.36025 37.5785)
,POINT (-122.28678 37.52078),,,POINT (-122.28678 37.52078)
,POINT (-122.28772 37.52181),,,POINT (-122.28772 37.52181)
,POINT (-122.15622 37.46662),,,POINT (-122.15622 37.46662)
,POINT (-122.15587 37.46701),,,POINT (-122.15587 37.46700999999999)
,POINT (-122.15513 37.46913),,,POINT (-122.15513 37.46913)
,POINT (-122.15505 37.46954),,,POINT (-122.15505 37.46954)
,POINT (-122.15522 37.46868),,,POINT (-122.15522 37.46868)
,POINT (-122.1552 37.46876),,,POINT (-122.1552 37.46876)
,POINT (-122.15737 37.46506),,,POINT (-122.15737 37.46506)
,POINT (-122.15688 37.46595),,,POINT (-122.15688 37.46595)
,POINT (-122.15089 37.47965),,,POINT (-122.15089 37.47965)
,POINT (-122.15053 37.48048),,,POINT (-122.15053 37.48048)
,POINT (-122.36134 37.57696),,,POINT (-122.36134 37.57696)
,POINT (-122.36056 37.57744),,,POINT (-122.36056 37.57744)
,POINT (-122.3626 37.57617),,,POINT (-122.3626 37.57617)
,POINT (-122.36515 37.57408),,,POINT (-122.36515 37.57408)
,POINT (-122.36482 37.57417),,,POINT (-122.36482 37.57417)
,POINT (-122.41926 37.78356),,,POINT (-122.41926 37.78355999999999)
,POINT (-122.41762 37.78378),,,POINT (-122.41762 37.78378)
,POINT (-122.22031 37.47544),,,POINT (-122.22031 37.47544)
,POINT (-122.21944 37.4767),,,POINT (-122.21944 37.4767)
,POINT (-122.42086 37.78335),,,POINT (-122.42086 37.78335)
,POINT (-122.21888 37.47749),,,POINT (-122.21888 37.47749)
,POINT (-122.42253 37.78314),,,POINT (-122.42253 37.78314)
,POINT (-122.42097 37.78333),,,POINT (-122.42097 37.78333)
,POINT (-122.21698 37.4802),,,POINT (-122.21698 37.4802)
,POINT (-122.21642 37.48102),,,POINT (-122.21642 37.48102)
,POINT (-122.21446 37.48365),,,POINT (-122.21446 37.48365)
,POINT (-122.21341 37.4852),,,POINT (-122.21341 37.4852)
,POINT (-122.44902 37.62899),,,POINT (-122.44902 37.62899)
,POINT (-122.44949 37.6296),,,POINT (-122.44949 37.6296)
,POINT (-122.45 37.63021),,,POINT (-122.45 37.63021)
,POINT (-122.4505 37.63083),,,POINT (-122.4505 37.63083)
,POINT (-122.45174 37.63265),,,POINT (-122.45174 37.63265)
,POINT (-122.27837 37.49948),,,POINT (-122.27837 37.49948)
,POINT (-122.27787 37.49989),,,POINT (-122.27787 37.49989)
,POINT (-122.37845 37.73601),,,POINT (-122.37845 37.73601)
,POINT (-122.37942 37.73628),,,POINT (-122.37942 37.73628)
,POINT (-122.33176 37.54381),,,POINT (-122.33176 37.54381)
,POINT (-122.33015 37.54512),,,POINT (-122.33015 37.54512)
,POINT (-122.26658 37.45671),,,POINT (-122.26658 37.45671)
,POINT (-122.2676 37.45726),,,POINT (-122.2676 37.45726)
,POINT (-122.2625 37.45449),,,POINT (-122.2625 37.45449)
