,lind_id,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
63,,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9451,31.9452,31.9509,31.9501,31.9483,31.9434,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509,31.9509
64,,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9496,31.929,31.929,31.929,31.929,31.929,31.929,31.929,31.929,31.929,31.929,31.929,31.9501,31.9567,31.9567,31.9567,31.9567,31.9529,31.9567,31.9567,31.9567,31.9547,31.9509,31.9567,31.9567,31.9567,31.9567,31.9567,31.9535,31.9553,31.9509,31.9567,31.947,31.9567,31.9567,31.9567,31.9567,31.9507,31.9499,31.9416,31.9372,31.929,31.9327,31.9321,31.929,31.929,31.9292,31.9351,31.9504,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567,31.9567
65,,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506,31.9506
66,,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9321,31.9549,31.9549,31.9549,31.953,31.9347,31.9307,31.9549,31.9222,31.9182,31.929,31.9145,31.943,31.9527,31.9263,31.9418,31.9549,31.9549,31.9549,31.9056,31.9549,31.9549,31.9549,31.9549,31.9308,31.9549,31.934,31.9549,31.9549,31.9549,31.9549,31.9549,31.9326,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9508,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9183,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549,31.9549
67,,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9444,31.9505,31.9444,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505
68,,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9441,31.9367,31.9312,31.9497,31.9256,31.9165,31.9247,31.926,31.9372,31.9405,31.9409,31.9264,31.9403,31.9432,31.9476,31.952,31.9446,31.9462,31.9462,31.9401,31.9328,31.9351,31.9487,31.9482,31.9494,31.9553,31.9343,31.9395,31.9431,31.9533,31.9528,31.9411,31.9472,31.9572,31.9493,31.9557,31.9488,31.9469,31.9562,31.9572,31.9319,31.951,31.9403,31.9557,31.9441,31.9572,31.9532,31.9527,31.9572,31.9572,31.9557,31.9572,31.9483,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572,31.9572
69,,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9386,31.9289,31.8712,31.8499,31.7741,31.7205,31.3943,31.6171,31.9235,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678,31.9678
70,,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.9444,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.9508,31.951,31.951,31.951,31.951,31.951,31.9468,31.951,31.951,31.9508,31.951,31.9503,31.9473,31.9508,31.951,31.951,31.9503,31.951,31.951,31.9471,31.9414,31.9503,31.9461,31.951,31.9402,31.946,31.9375,31.9441,31.9477,31.9487,31.951,31.951,31.951,31.9495,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951,31.951
71,,31.9505,31.9505,31.9505,31.9505,31.9505,31.9444,31.9505,31.9444,31.9505,31.9505,31.9444,31.9505,31.9505,31.9444,31.9444,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.95,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505,31.9505
72,,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9563,31.9636,31.954,31.9216,31.9113,31.9062,31.919,31.9016,31.9151,31.8497,31.9184,31.9189,31.9197,31.9199,31.9201,31.9217,31.8025,31.9561,31.9541,31.9576,31.9485,31.9636,31.963,31.9625,31.9636,31.9636,31.9636,31.9589,31.9636,31.9602,31.9636,31.9636,31.9587,31.9565,31.9619,31.9636,31.9636,31.9636,31.9636,31.9636,31.8974,31.9627,31.9636,31.9636,31.9636,31.9614,31.9636,31.9235,31.9561,31.8282,31.8731,31.9346,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636,31.9636
