LINK_,ST_NAME,REF_IN_ID,NREF_IN_ID,FUNC_CLASS,DIR_TRAVEL,NUM_PHYS_LANES,SPEED_KPH,LENGTH(meters),CAPACITY(veh/hour),RAMP
Redacted,Redacted,Redacted,Redacted,5,F,1,40,142.5401196,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,157.8992469,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,201.280124,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,92.29598282,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,123.4271377,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,261.0258585,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,51.16318606,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,78.50841391,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,71.69162746,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,150.4901412,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,69.16259288,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,60.67757174,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,40.13337969,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,27.70024736,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,105.0273572,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,161.1180595,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,87.13933529,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,142.0110157,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,31.05903897,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,159.8669827,1000,N
