,link_id,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
0,,24.14967242,17.92982346,16.0534455,16.2271981,14.69829406,16.08818976,12.57867496,13.03041296,13.62112802,14.66354979,14.17706753,15.60173878,15.39324191,12.75242756,10.07683768,8.304723782,12.57867496,16.81791315,18.31207293,20.08418682,21.82158773,25.261614,35.85977202,43.57356183,49.37657342,61.57303019,76.82363689,91.94252029,91.27493201,95.31312057,99.20472847,98.54455616,103.8754373,103.0436144,103.1313621,103.4011774,99.1005895,98.68372086,98.9614248,84.0608991,85.58378809,87.56430504,91.14318328,91.17134128,89.99671634,91.21292199,89.26680531,89.40597001,89.57953497,88.91936266,88.27815504,85.4446234,85.75735306,92.91431941,95.0351498,96.35544853,97.22421153,94.44435758,96.13794922,93.45060724,94.58320954,100.2956613,107.1968477,107.752881,106.2239457,109.8028239,112.5826779,112.2699482,115.9746907,120.2620675,122.3467234,127.14212,128.7404813,120.5050584,117.4124748,106.6755273,102.2625991,104.7991494,94.13162791,94.89593921,89.05852736,82.94278611,74.46437227,77.17480024,68.93937736,59.80079121,53.89364064,49.09855675,44.92893218,42.67008584,39.71666693,36.83267399,34.64356637,31.79428643,29.77880631,28.14566948
1,,24.17393972,17.9016853,16.05937174,16.30270267,14.63420586,16.10435632,12.61807556,12.96567776,13.66091345,14.70372004,14.15653448,15.60749827,15.43368153,12.89616358,9.837226691,8.30778953,12.61807556,16.89363579,18.31883296,20.09160105,21.86440042,25.3056966,35.80324546,43.62437314,49.46425275,61.73466355,77.029348,91.83755831,91.10737783,95.45248352,99.34584088,98.61427451,104.0034788,102.8787964,103.134708,103.3430628,99.171899,98.82432809,98.82432809,83.98139197,85.65010778,87.66608165,91.17682944,90.89902298,90.09939089,91.17682944,89.36952326,89.2997588,89.78654578,88.95218788,87.90947514,85.58065616,85.7542852,92.74105498,94.82679331,96.32156723,97.26010255,94.61812562,95.6264254,93.47123546,94.54867401,100.2843762,107.444775,107.4798137,106.4715139,109.8780843,112.5200612,112.1724903,115.8568671,120.4664712,122.3224369,127.3279587,128.5793391,120.6887598,117.2127378,106.6454558,102.3003501,104.5597174,94.2358289,94.96600938,88.84801046,83.14734692,74.35295811,77.23801569,68.75647198,60.06626059,53.77463264,49.04723023,44.91079222,42.6163862,39.97472212,36.70705497,34.51713922,31.87547513,29.82455646,28.12130256
2,,24.0886211,17.97086215,16.0590703,16.23288378,14.73820049,15.98955743,12.68738288,12.93067795,13.66065702,14.66868761,14.14727846,15.60720531,15.46814827,12.89592151,9.837042042,8.272845867,12.65259516,16.85856225,18.38800199,20.05646748,21.82923358,25.37473448,35.94178688,43.48465367,49.5327746,61.69877961,77.20184075,91.80079649,91.17511802,95.45069184,99.34397612,98.33569527,104.0712898,102.7852077,103.2022224,103.2716727,99.13531235,98.82247312,98.78774796,83.94509046,85.64850009,87.83837474,90.93204193,91.07094255,89.99352423,91.24488117,89.29808261,89.36784576,89.81958561,89.02028137,87.69916128,85.68322525,85.7179504,92.77435219,94.68611275,96.52842301,97.36245241,94.40799867,95.65935561,93.46948097,94.6163496,100.2127307,107.5125214,107.4427582,106.3653399,110.1541359,112.272851,112.2128329,116.0821515,120.6378534,122.5133874,127.5650243,128.5037392,120.8705812,117.1610282,106.7155751,102.4373305,104.1407401,94.26878521,95.10312745,88.77689244,83.21523652,74.24707417,77.2365659,68.82463171,59.96095766,53.73889812,49.08103475,44.94467438,42.54613597,39.86948347,36.81085427,34.51649132,31.90960197,29.71972733,28.15553115
3,,23.77786469,19.74535784,16.44289402,16.61669144,16.33858428,16.13002738,14.60045366,15.29570591,14.84377004,16.86003911,18.11150567,17.41625342,18.18102464,11.29795855,9.698865858,7.99549472,17.34670317,18.38961283,19.50201017,21.5877982,17.34670317,17.76387955,30.31330465,48.11200626,57.28932343,64.20711772,84.05694173,109.3293704,106.8264372,93.65131013,110.7200626,109.9901447,110.2332421,110.1290575,97.82307391,109.259914,106.1659758,95.28541259,111.0690906,83.46593664,103.2807196,106.0617912,101.0211967,101.5427454,104.1845913,100.499648,105.0190066,100.8819711,103.9064529,103.6977708,97.40570982,100.6736019,103.4546734,103.8022683,101.855612,103.2459914,100.8125147,101.3687916,102.4115761,100.7083301,98.90058662,102.8983966,99.83918655,101.0211967,102.6897145,104.1845913,100.0131404,105.5402425,102.029253,103.4361261,102.5160735,105.5402425,90.14032069,90.62714118,88.0544388,86.00359797,85.76018772,91.46124364,88.81939773,85.96886977,77.52147047,71.82041455,73.00211185,70.81204537,60.87008213,57.21986703,49.74579585,41.6459914,39.69933516,36.98771998,35.56261244,34.51951506,29.20087603,28.0537192,27.8798905,24.9250528
4,,23.63919655,19.78042676,16.54743132,16.58219135,16.30407984,16.02596834,14.70496214,15.36546524,14.84400225,16.86030286,18.04226894,17.41652587,18.25082911,11.26337526,9.664257556,8.030379826,17.34697453,18.35514048,19.43279519,21.69241599,17.38176585,17.72939741,30.24425881,48.04330142,57.35967712,64.03447844,83.98848633,108.1493649,107.9406796,93.33990364,109.922095,109.9918653,110.2349665,110.1307803,99.00632001,108.0795945,107.2802077,94.97403166,110.2002378,84.51004318,103.2823353,105.8894938,101.161692,101.5790626,104.2556786,100.2928478,105.0206495,100.9880483,103.9775358,103.5604781,97.54646142,100.7446343,103.2128778,103.8386209,101.9961204,103.0389212,100.9880483,101.2661911,102.5871347,100.5359489,98.93686252,102.79582,99.97997622,100.8488205,102.8652775,104.0820349,100.2230774,105.3335211,102.3089919,103.1086916,102.4829485,105.6116639,90.28095864,90.62855891,88.16031537,86.10912959,85.62261435,91.49740317,88.95970215,85.79625806,77.73105563,71.75176772,73.10775296,70.74369564,60.83599274,57.22076216,49.95525937,41.54245667,39.80414242,36.9882986,35.63262624,34.45059758,29.23609286,28.01939804,27.81080658,25.06448282
5,,23.77756712,19.77986979,16.54696539,16.75555097,16.26886171,15.92123994,14.60027094,15.53885911,14.73930713,16.82506906,18.25031521,17.38127642,18.11127901,11.4020943,9.629226384,8.169189905,17.13793179,18.28507426,19.36272991,21.76135457,17.34648608,17.58983071,29.96530352,47.76381367,56.97574375,63.61531651,81.97003401,104.0791042,109.9189998,92.05109674,109.2238189,109.9887682,110.2665903,110.0946737,103.1057883,103.9746081,110.1276793,92.71154995,109.6061371,88.78355844,100.0466165,106.4427821,101.9932484,100.6376142,104.8784685,99.80320935,105.5389217,100.2900237,104.1485597,103.0360199,99.87266487,99.31639495,102.8276533,103.8704248,102.4800628,102.0279762,102.9665644,100.1329891,103.0360199,99.69902606,100.3594793,101.0546602,100.950477,100.2202554,102.9665644,103.4881065,101.5762024,103.6617453,104.1832875,101.506434,103.7315137,105.0524201,92.78131834,90.24337591,88.47069571,86.62824712,85.41152399,91.18196409,89.54819494,85.3073407,79.25845277,71.7150196,73.31406099,70.88092758,61.42527743,57.09932796,50.30144324,41.68019798,39.9769733,36.9872571,35.80526173,34.51908306,29.09623345,28.31090399,27.8100235,24.95949992
6,,23.88266618,19.74579029,16.68657585,16.75612763,16.30418187,15.86090207,14.56601318,15.43508188,14.98316741,16.68657585,18.18142282,17.59043608,18.14666258,11.4720385,9.629557785,8.278258474,16.61705536,18.56381681,19.32863606,21.62303124,17.48615535,17.65995657,29.30582758,47.41785506,56.97770463,62.53996959,79.85219856,99.1808972,109.4362645,95.14827075,106.133572,109.9925536,110.2703853,110.0967405,107.7673973,99.77191522,109.6796801,95.87820461,106.4464454,94.48779481,96.12162018,105.9599272,103.9434575,100.3282043,104.0826862,100.1542466,105.0213067,100.571307,104.0479572,102.9701081,101.8578428,98.13808984,102.5530477,103.2135236,103.3524395,101.2320958,104.7778911,99.00693953,102.9353791,99.73718627,101.197054,99.84137314,102.1356745,99.49377069,102.4835898,103.4222103,103.1787947,101.788072,105.0213067,100.4671201,104.7431621,103.7350838,96.85186692,89.48181892,89.30786126,86.97883098,84.99740315,90.55935523,90.21175278,85.65787909,80.37375867,72.09981916,73.42108392,70.98755389,62.2270961,57.394765,50.37263233,41.64690349,40.39540952,36.88434318,35.94572271,34.79841561,29.09723482,27.98478183,28.15861435,24.82128666
7,,23.74251094,19.84913948,16.44248247,16.68579277,16.2338995,15.88628208,14.73912268,15.46911614,14.70436407,17.03341019,18.00677652,17.3810589,18.25008682,11.26291716,9.629105881,8.134329059,17.24199316,18.28484543,19.46676344,21.76108224,17.346269,17.72867633,30.03444575,47.93685258,57.14898024,63.96210654,83.42912027,106.5459449,109.0137752,92.2669929,110.0881124,110.1076158,110.3544291,110.2608358,100.3003792,106.7890362,108.6314617,93.61423883,110.1957558,85.89726342,102.2353762,106.3372681,101.1575776,101.3662544,104.4253879,100.1495465,105.329237,100.6710821,104.0430744,103.2781346,98.41161582,100.1495465,102.9652758,104.0778017,102.0266994,102.7218716,101.4704364,100.9492136,102.756599,100.3582233,99.52382889,101.991972,100.0800919,100.8377537,103.2280574,103.6257207,100.6684797,104.7113817,103.1012874,102.6040313,103.1476778,105.5383603,91.31166288,90.60698075,87.98278025,86.62716303,85.5146371,91.38949983,89.13003351,85.5146371,78.31888447,71.74884946,73.24368886,70.81027303,61.04219527,57.25316222,50.09213692,41.50603974,39.76779619,37.02152156,35.73535899,34.48392375,29.16538655,28.12253428,27.77491686,25.0287048
8,,22.31662297,16.72008059,14.84298058,15.26013478,13.59158058,14.94728477,11.7492695,12.20115004,12.23590767,13.52206531,12.7920924,14.49537295,14.28682714,12.09687713,9.489772933,8.134100024,11.19308476,15.39916532,16.85914242,19.39670006,20.26573479,24.05469244,33.4749501,41.22674742,46.05840284,57.52967382,72.05967927,86.06768591,85.0694042,90.15350795,94.92122544,93.3963446,98.16544759,98.29699612,97.74810569,97.47029489,94.13312393,93.71609488,92.42965568,79.01214484,79.28995564,80.75002659,84.5042266,83.77434755,83.8785266,84.6781712,82.52294755,83.1833739,82.1753712,82.0708793,81.06287659,80.15905294,79.46390024,85.79035296,88.46709757,89.30115567,89.64904487,87.80667121,89.05807122,85.65144756,87.46593579,93.85500028,98.96508896,100.6335213,99.25910391,102.4355862,105.4844206,105.0665898,108.6792654,113.2559794,115.2951826,119.5579356,121.7294269,114.1902503,110.4707767,100.181453,96.70537664,96.56647124,87.14624486,87.66745296,83.7396212,77.41285563,69.52215291,72.05967927,64.37764749,56.41717922,49.49975285,45.39797649,41.33092647,39.80140282,36.95102646,34.06592375,32.25827645,29.68599245,27.94792299,26.34891535
9,,22.28563025,16.75770054,14.84548857,15.26271324,13.55911361,14.94981038,11.68169643,12.23797514,12.27273865,13.59387712,12.72472684,14.5325857,14.32400466,12.0293628,9.491376397,8.205001439,11.0211272,15.43653078,16.89675457,19.33045045,20.26915904,24.09352041,33.48060628,41.0250072,46.20542699,57.4001527,72.0371228,85.94409052,84.93560459,89.97709551,94.87903175,93.21032079,98.18203437,98.35569546,97.79966707,97.52149643,94.07956494,93.76666208,92.51505063,79.06022754,79.37313041,80.76367073,84.44904064,83.68399314,83.82323491,84.83140794,82.46742681,83.26689363,82.29345282,81.91108552,81.14603802,80.24206165,79.40786262,85.77011653,88.51677785,89.386022,89.49021866,87.89097213,89.0033418,85.87431318,87.36936305,93.8013943,98.98150118,100.6157928,99.12074296,102.3887005,105.3093358,104.9964329,108.4383644,112.9579333,115.3222274,119.3201872,121.6497491,114.3137414,110.4547104,100.6157928,96.61752006,96.33934941,87.33463084,87.78677547,83.75377048,77.53044545,69.49916768,72.00239058,64.56218631,56.35724746,49.71682291,45.47511171,41.12920385,39.73866353,37.23544063,34.00221535,32.33319148,29.62148141,28.02220359,26.38813097
