,link_id,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
236,,0.517778,0.381111,0.354444,0.36,0.328889,0.292222,0.298889,0.236667,0.274444,0.272222,0.274444,0.34,0.534444,0.338889,0.25,0.245556,0.383333,0.447778,0.488889,0.542222,0.566667,0.655556,1.01444,1.22778,1.46333,1.87778,2.46778,2.91556,2.85889,3.08889,3.47222,3.72111,3.61556,3.56333,3.16111,2.95556,2.85,2.56778,2.37444,2.24667,2.27111,2.37889,2.26889,2.29778,2.32111,2.27111,2.30222,2.30556,2.37889,2.27333,2.21111,2.24,2.38889,2.44333,2.55889,2.44444,2.42444,2.55111,2.44333,2.38778,2.45444,2.72111,2.83556,2.79111,2.77333,2.73444,2.86778,2.91778,2.96111,2.93667,2.81222,3.28778,2.63333,2.49778,2.69,2.73,2.54333,2.51444,2.26889,2.20889,1.96,1.92889,1.75889,1.74889,1.62778,1.36778,1.17556,1.07556,1.05222,0.977778,0.877778,0.82,0.768889,0.743333,0.703333,0.6
237,,0.517778,0.383333,0.351111,0.364444,0.324444,0.291111,0.303333,0.235556,0.275556,0.268889,0.277778,0.335556,0.535556,0.34,0.25,0.247778,0.38,0.448889,0.484444,0.544444,0.568889,0.65,1.01,1.23444,1.45778,1.87556,2.45444,2.91,2.85444,3.09333,3.45556,3.72889,3.60444,3.58111,3.17111,2.95111,2.84778,2.58,2.37222,2.25111,2.26333,2.37444,2.28,2.28889,2.32111,2.27222,2.30889,2.30111,2.38333,2.26667,2.21333,2.24556,2.38444,2.44333,2.56333,2.43222,2.43889,2.54444,2.44444,2.38778,2.45556,2.71111,2.83333,2.79,2.78222,2.72889,2.85889,2.92,2.95667,2.94778,2.81333,3.28333,2.64778,2.49222,2.68778,2.72111,2.55444,2.50333,2.28889,2.20556,1.97,1.91444,1.76778,1.75111,1.62778,1.36222,1.18556,1.07111,1.06,0.972222,0.878889,0.822222,0.772222,0.742222,0.705556,0.6
238,,0.523333,0.385556,0.36,0.352222,0.336667,0.294444,0.302222,0.242222,0.265556,0.273333,0.271111,0.341111,0.524444,0.347778,0.255556,0.248889,0.364444,0.441111,0.482222,0.544444,0.558889,0.662222,0.981111,1.22111,1.42222,1.84556,2.39667,2.91778,2.85,3.04222,3.40222,3.69222,3.63,3.62333,3.20667,2.97,2.89222,2.60222,2.37778,2.22889,2.28556,2.35444,2.31556,2.25333,2.33889,2.25778,2.31667,2.29889,2.38889,2.28,2.21667,2.22444,2.37778,2.42111,2.58444,2.43667,2.44556,2.51889,2.46,2.38111,2.46222,2.68444,2.85,2.66222,2.64,2.81333,2.74444,2.84111,2.86333,2.86222,3.27778,2.68556,3.03111,2.77222,2.69222,2.70556,2.58778,2.5,2.33556,2.18444,1.98333,1.94,1.77778,1.73889,1.64556,1.38222,1.19222,1.07222,1.07556,0.968889,0.887778,0.816667,0.781111,0.76,0.693333,0.607778
239,,0.595556,0.488889,0.433333,0.426667,0.368889,0.326667,0.363333,0.293333,0.338889,0.317778,0.302222,0.342222,0.283333,0.178889,0.133333,0.118889,0.257778,0.395556,0.416667,0.418889,0.367778,0.265556,0.458889,0.63,0.816667,0.993333,1.34889,1.82,1.89,1.97667,2.30778,2.58444,2.59889,2.60333,2.47444,2.24,2.25111,2.23111,2.10222,1.99444,2.16556,2.29222,2.23,2.30222,2.27667,2.39667,2.35111,2.32,2.3,2.41556,2.26667,2.40667,2.38222,2.53889,2.58222,2.66111,2.55,2.76556,2.70667,2.70778,2.86222,2.82222,3.01889,3.04,3.12,3.30889,3.50556,3.45556,3.55444,4.05778,3.98889,3.94,3.72111,3.35111,3.15556,3.07889,2.89333,2.84667,2.49889,2.50333,2.30889,2.2,2.12778,1.97222,1.74,1.61111,1.40222,1.25889,1.17667,1.11,1.01333,0.97,0.915556,0.856667,0.771111,0.772222
240,,0.596667,0.485556,0.433333,0.427778,0.367778,0.328889,0.361111,0.293333,0.338889,0.317778,0.302222,0.343333,0.283333,0.177778,0.133333,0.118889,0.257778,0.395556,0.416667,0.418889,0.368889,0.264444,0.458889,0.63,0.817778,0.993333,1.35,1.82333,1.88667,1.98,2.30889,2.57889,2.60444,2.60222,2.47444,2.23667,2.25778,2.23111,2.09667,1.99556,2.16444,2.29222,2.22889,2.30556,2.27556,2.39556,2.35333,2.31778,2.3,2.41778,2.26444,2.40556,2.38556,2.53667,2.58111,2.66556,2.54556,2.76889,2.70333,2.71333,2.86111,2.82111,3.01667,3.04889,3.11778,3.30556,3.50444,3.45778,3.55667,4.06,3.99,3.93556,3.72222,3.34556,3.15556,3.08,2.89222,2.85222,2.49444,2.50222,2.30889,2.19889,2.12778,1.97444,1.73778,1.61222,1.40111,1.25667,1.17778,1.10778,1.01667,0.972222,0.911111,0.855556,0.773333,0.772222
241,,0.592222,0.491111,0.433333,0.426667,0.368889,0.327778,0.362222,0.294444,0.338889,0.317778,0.301111,0.341111,0.284444,0.18,0.133333,0.118889,0.256667,0.396667,0.415556,0.418889,0.368889,0.265556,0.456667,0.63,0.817778,0.993333,1.34556,1.82,1.89222,1.97444,2.30778,2.58556,2.59667,2.6,2.47778,2.24,2.24889,2.23333,2.10444,1.99333,2.16889,2.28889,2.22778,2.30667,2.27222,2.39667,2.35,2.32111,2.30222,2.41333,2.26667,2.41,2.37667,2.53889,2.58444,2.66111,2.54778,2.76889,2.70556,2.70778,2.85889,2.82444,3.01778,3.04111,3.12,3.30667,3.50556,3.45889,3.54778,4.05333,3.99222,3.94556,3.71889,3.35222,3.15333,3.08111,2.89556,2.84667,2.5,2.5,2.31444,2.19667,2.13,1.97222,1.74,1.60778,1.40778,1.25889,1.17778,1.11,1.01444,0.97,0.912222,0.86,0.77,0.774444
242,,0.597778,0.48,0.433333,0.427778,0.367778,0.328889,0.361111,0.291111,0.343333,0.315556,0.302222,0.342222,0.285556,0.175556,0.133333,0.117778,0.26,0.394444,0.416667,0.422222,0.367778,0.264444,0.458889,0.632222,0.82,0.995556,1.35222,1.82222,1.88444,1.99111,2.30556,2.58556,2.60778,2.59667,2.47111,2.23444,2.26556,2.22778,2.09333,1.99778,2.16667,2.29444,2.22889,2.30222,2.27667,2.39556,2.34889,2.32333,2.30222,2.41333,2.26889,2.39556,2.39444,2.53444,2.57889,2.66,2.55556,2.76444,2.70778,2.71889,2.85,2.81667,3.02778,3.04556,3.12222,3.31222,3.50222,3.45778,3.56222,4.07,3.99222,3.93,3.71111,3.33333,3.16667,3.07444,2.88444,2.86444,2.48222,2.50444,2.31222,2.19222,2.12667,1.98,1.73111,1.60778,1.4,1.25667,1.18,1.10778,1.01444,0.973333,0.912222,0.848889,0.776667,0.772222
243,,0.427778,0.342222,0.324444,0.282222,0.296667,0.224444,0.24,0.223333,0.23,0.255556,0.284444,0.296667,0.453333,0.487778,0.342222,0.321111,0.435556,0.577778,0.641111,0.731111,0.763333,1.02556,1.49222,1.54,1.79333,2.34778,3.13556,3.80778,3.83,3.75556,4.42111,4.55333,4.41667,4.17889,3.93556,3.42889,3.49667,3.20667,2.56111,2.43667,2.37,2.32556,2.29,2.32111,2.34556,2.23,2.23222,2.26667,2.19111,2.24,2.10222,2.08444,2.11778,2.16889,2.22111,2.20889,2.16111,2.19,2.20778,2.07667,2.04222,2.25111,2.27111,2.38333,2.56667,2.68111,2.69222,2.84,2.74222,3.10222,3.01222,2.95889,2.58667,2.34333,2.25778,2.13667,2.05333,1.94,1.79444,1.78667,1.61333,1.56778,1.43778,1.40333,1.29778,1.14667,0.961111,0.892222,0.802222,0.748889,0.621111,0.667778,0.567778,0.567778,0.565556,0.517778
244,,0.423333,0.345556,0.324444,0.283333,0.296667,0.223333,0.24,0.224444,0.227778,0.256667,0.285556,0.294444,0.454444,0.487778,0.343333,0.32,0.434444,0.58,0.641111,0.728889,0.762222,1.02444,1.49222,1.54,1.79,2.34778,3.13333,3.80556,3.83,3.75444,4.41444,4.55889,4.41222,4.18,3.93778,3.43667,3.49222,3.21556,2.55667,2.43556,2.37556,2.32333,2.28889,2.32222,2.34778,2.22556,2.23,2.27333,2.18889,2.24222,2.10111,2.08667,2.11778,2.16778,2.22333,2.20667,2.15556,2.19333,2.20889,2.07889,2.04,2.24667,2.27333,2.38667,2.56,2.68111,2.69333,2.84,2.74333,3.09778,3.01667,2.96,2.58667,2.34222,2.26222,2.13444,2.05444,1.94111,1.79111,1.79,1.61667,1.56444,1.43889,1.40222,1.29889,1.14667,0.956667,0.896667,0.798889,0.753333,0.62,0.67,0.566667,0.566667,0.566667,0.518889
245,,0.428889,0.343333,0.322222,0.283333,0.296667,0.224444,0.238889,0.223333,0.23,0.256667,0.283333,0.298889,0.452222,0.487778,0.342222,0.32,0.435556,0.582222,0.64,0.728889,0.762222,1.02889,1.49556,1.53667,1.79,2.35778,3.13667,3.80667,3.82778,3.76333,4.42333,4.55444,4.41889,4.17222,3.93444,3.42667,3.49778,3.20333,2.55556,2.43889,2.37111,2.33,2.28889,2.31667,2.34444,2.23222,2.23222,2.26222,2.19889,2.23556,2.10333,2.08,2.12333,2.16778,2.21556,2.21,2.16667,2.18778,2.20556,2.08222,2.03778,2.25111,2.27222,2.38222,2.56667,2.68444,2.69222,2.84111,2.74222,3.10222,3.01111,2.96,2.58667,2.33667,2.26,2.13556,2.05444,1.94111,1.79222,1.79,1.61,1.56667,1.43889,1.40667,1.29333,1.14667,0.962222,0.888889,0.803333,0.748889,0.622222,0.666667,0.567778,0.567778,0.565556,0.516667
